state,county,cz,czname,kfr_pooled_pooled_p25,kfr_white_pooled_p25,poor_share1990,ann_avg_job_growth_2004_2013,job_growth_quartile
1,1,11101,Montgomery,0.36166623,0.4072639,0.13958347,0.010145103,4
1,3,11001,Mobile,0.38884708,0.42699328,0.14006257,0.012950056,4
1,5,10301,Eufaula,0.34938559,0.43485212,0.25627196,-0.020755908,1
1,7,10801,Tuscaloosa,0.36339074,0.3977851,0.21320105,-0.0046446533,2
1,9,10700,Birmingham,0.39187884,0.40401202,0.14776778,-0.008120399,2
1,11,9800,Auburn,0.34565896,0.49542519,0.3760353,0.026254078,4
1,13,11101,Montgomery,0.35724857,0.42536673,0.31639984,-2.4342755e-4,3
1,15,9600,LaGrange,0.36184675,0.40015283,0.14818171,-0.016005199,1
1,17,9600,LaGrange,0.34057492,0.38074261,0.18514353,-0.010350547,2
1,19,6600,Rome,0.36542159,0.38608083,0.17523949,-0.0082949791,2
1,21,10700,Birmingham,0.38805655,0.41617644,0.16894893,-0.003689972,2
1,23,10802,Demopolis,0.3969731,0.50685066,0.29751265,-0.017208306,1
1,25,11001,Mobile,0.38430709,0.45122221,0.25854284,-0.030748706,1
1,27,9500,Talladega,0.40678033,0.43250844,0.17432588,-0.012092866,1
1,29,9600,LaGrange,0.4124786,0.43542519,0.15155782,-0.017793171,1
1,31,10302,Dothan,99,0.43394071,0.14329088,-1.8012787e-4,3
1,33,6200,Florence,0.3732456,0.40844825,0.13850182,-0.0051766243,2
1,35,11002,Atmore,0.36797199,0.43505391,0.29646641,-0.011007579,2
1,37,9500,Talladega,0.35266301,0.41878441,0.17697039,-0.013254521,1
1,39,11102,Troy,0.4055416,0.44597709,0.21493013,-0.008994069,2
1,41,11102,Troy,0.40949893,0.45683023,0.24028192,0.0081381751,4
1,43,10700,Birmingham,0.40455472,0.41934752,0.15332876,-0.009722326,2
1,45,10302,Dothan,0.38080323,0.43404242,0.14803408,-0.0010409254,3
1,47,10801,Tuscaloosa,0.33595914,0.43620273,0.34380999,-0.0032486201,3
1,49,6100,Gadsden,0.39647737,0.41004553,0.17293212,-0.013056695,1
1,51,11101,Montgomery,0.37799388,0.42788613,99,0.010114059,4
1,53,11002,Atmore,0.3677946,0.42162079,0.27032277,-0.0012843945,3
1,55,6100,Gadsden,0.36484614,0.39289325,0.15468949,-0.0094213998,2
1,57,10600,Jasper,0.40141243,0.42736572,0.20329185,-0.024270942,1
1,59,6200,Florence,0.40572405,0.41775709,0.20893925,6.6473644e-4,3
1,61,10302,Dothan,0.39071053,0.41630477,0.19243564,-0.0086330222,2
1,63,10802,Demopolis,0.3280988,0.43546572,99,-0.021473909,1
1,65,10801,Tuscaloosa,0.35585302,0.45470068,0.34762952,-0.018936334,1
1,67,10302,Dothan,0.35838878,0.42339206,0.16985142,-0.011446728,1
1,69,10302,Dothan,0.35789412,0.41695729,0.14826328,-0.0030852114,3
1,71,6100,Gadsden,0.39407125,0.4098106,0.16308454,-0.015782038,1
1,73,10700,Birmingham,0.34393278,0.4228515,0.12972082,-0.0032881335,3
1,75,10600,Jasper,0.42915851,0.45021287,0.17947499,-0.0090894997,2
1,77,6200,Florence,0.3963314,0.42219472,0.13673146,0.0039032674,3
1,79,6000,Huntsville,0.38764086,0.41372171,0.19308072,-0.014724162,1
1,81,9800,Auburn,0.36433998,0.41713062,0.2158917,0.011852887,4
1,83,6000,Huntsville,0.36662039,0.39496502,0.13430424,0.013184434,4
1,85,11101,Montgomery,0.329528,0.4692902,0.37634867,-0.029381998,1
1,87,9800,Auburn,0.3151837,0.37776414,0.35740346,-0.0058601662,2
1,89,6000,Huntsville,0.36340868,0.40625536,0.099498406,0.0073876576,4
1,91,10802,Demopolis,0.37045205,0.47121078,0.30018732,-0.019491542,1
1,93,10600,Jasper,0.39463562,0.40683869,0.19058862,-0.0089491922,2
1,95,6100,Gadsden,0.38712749,0.40200943,0.17246391,-0.0048764618,2
1,97,11001,Mobile,0.35896039,0.42586941,0.17983218,0.0025887319,3
1,99,11002,Atmore,0.36833104,0.43303195,0.21843681,-0.029697662,1
1,101,11101,Montgomery,0.32733279,0.42272431,0.1340977,-8.8972789e-5,3
1,103,6000,Huntsville,0.36942601,0.40730438,0.11441453,0.0010815673,3
1,105,10801,Tuscaloosa,0.33660656,0.46455061,0.42406917,-0.0081953043,2
1,107,10501,Columbus,0.36965418,0.47897026,0.28371155,-0.010776023,2
1,109,11102,Troy,0.36580148,0.45337614,0.27707773,-0.0038191576,2
1,111,9600,LaGrange,0.37275833,0.41710907,0.18821321,-0.010759699,2
1,113,9701,Columbus,0.331193,0.36668628,0.18099639,0.016949587,4
1,115,10700,Birmingham,0.39964822,0.42024302,0.14272043,0.01661966,4
1,117,10700,Birmingham,0.41377839,0.43709463,0.086250879,0.016072877,4
1,119,10802,Demopolis,0.34428778,0.47398072,99,0.011126528,4
1,121,9500,Talladega,0.35622436,0.39209899,0.19651955,-0.011167851,2
1,123,9500,Talladega,0.3650265,0.41621837,0.15695095,-0.0020358816,3
1,125,10801,Tuscaloosa,0.35644168,0.43926692,0.18946499,0.01364226,4
1,127,10600,Jasper,99,0.39636269,0.16834664,-0.017551839,1
1,129,11001,Mobile,0.41849449,0.47645327,0.24812828,-0.0052084299,2
1,131,11001,Mobile,0.3492828,0.42244208,0.44491953,-0.041168913,1
1,133,10600,Jasper,0.38814789,0.40459687,0.19905922,-0.010182329,2
2,13,34101,Sand Point,0.34843248,0.45599553,0.10563073,0.083038643,4
2,16,34114,Unalaska,0.34952685,0.34052959,0.10122216,0.036882121,4
2,20,34102,Anchorage,0.39022613,0.42571709,0.070306294,0.0097669223,4
